test_name,tcp_flavor,time_iter,bits_per_second,rtt_ms,cwnd_size_bytes
amsterdam_lan_noload,cubic,8,347025579.9927375,68.417,6287216
amsterdam_lan_noload,cubic,9,346892733.647867,68.503,6287216
amsterdam_lan_noload,cubic,10,358883225.85717,68.275,6287216
amsterdam_lan_noload,cubic,11,358620174.143838,68.378,6287216
amsterdam_lan_noload,cubic,12,347059583.1731564,68.514,6287216
amsterdam_lan_noload,cubic,13,344839105.80205125,68.534,6287216
amsterdam_lan_noload,cubic,14,358773354.803201,67.826,6287216
amsterdam_lan_noload,cubic,15,357541911.41649485,68.515,6287216
amsterdam_lan_noload,cubic,16,345785599.10539937,68.429,6287216
amsterdam_lan_noload,cubic,17,351545400.51083577,68.364,6287216
amsterdam_lan_noload,cubic,18,364918325.02771235,68.319,6287216
amsterdam_lan_noload,cubic,19,345945332.0111462,68.364,6287216
amsterdam_lan_noload,cubic,20,344901493.31098187,68.495,6287216
amsterdam_lan_noload,cubic,21,358630563.1108969,67.809,6287216
amsterdam_lan_noload,cubic,22,351389976.78039265,68.441,6287216
amsterdam_lan_noload,cubic,23,340795040.8053965,68.484,6287216
amsterdam_lan_noload,cubic,24,364770951.85592014,68.469,6287216
amsterdam_lan_noload,cubic,25,337625252.02922916,68.417,6287216
amsterdam_lan_noload,cubic,26,344094646.5048873,68.366,6287216
amsterdam_lan_noload,cubic,27,353372239.32530665,68.475,6287216
amsterdam_lan_noload,cubic,28,345748283.423766,68.457,6287216
amsterdam_lan_noload,cubic,29,347335681.5092345,68.409,6287216
amsterdam_lan_noload,cubic,30,360584283.93080264,68.251,6287216
amsterdam_lan_noload,cubic,31,359788222.46054053,68.521,6287216
amsterdam_lan_noload,cubic,32,346945438.277025,68.524,6287216
amsterdam_lan_noload,cubic,33,346948208.2965232,68.379,6287216
amsterdam_lan_noload,cubic,34,372553319.7724268,68.307,6287216
amsterdam_lan_noload,cubic,35,347064754.5568129,68.434,6287216
amsterdam_lan_noload,cubic,36,345965370.8531584,68.439,6287216
amsterdam_lan_noload,cubic,37,351203084.52744526,68.381,6287216
amsterdam_lan_noload,cubic,38,363859146.84197456,68.477,6287216
amsterdam_lan_noload,cubic,39,345032218.5792852,68.424,6287216
